date,beer,Quarter
1956-01-01,284,1956 Q1
1956-04-01,213,1956 Q2
1956-07-01,227,1956 Q3
1956-10-01,308,1956 Q4
1957-01-01,262,1957 Q1
1957-04-01,228,1957 Q2
1957-07-01,236,1957 Q3
1957-10-01,320,1957 Q4
1958-01-01,272,1958 Q1
1958-04-01,233,1958 Q2
1958-07-01,237,1958 Q3
1958-10-01,313,1958 Q4
1959-01-01,261,1959 Q1
1959-04-01,227,1959 Q2
1959-07-01,250,1959 Q3
1959-10-01,314,1959 Q4
1960-01-01,286,1960 Q1
1960-04-01,227,1960 Q2
1960-07-01,260,1960 Q3
1960-10-01,311,1960 Q4
1961-01-01,295,1961 Q1
1961-04-01,233,1961 Q2
1961-07-01,257,1961 Q3
1961-10-01,339,1961 Q4
1962-01-01,279,1962 Q1
1962-04-01,250,1962 Q2
1962-07-01,270,1962 Q3
1962-10-01,346,1962 Q4
1963-01-01,294,1963 Q1
1963-04-01,255,1963 Q2
1963-07-01,278,1963 Q3
1963-10-01,363,1963 Q4
1964-01-01,313,1964 Q1
1964-04-01,273,1964 Q2
1964-07-01,300,1964 Q3
1964-10-01,370,1964 Q4
1965-01-01,331,1965 Q1
1965-04-01,288,1965 Q2
1965-07-01,306,1965 Q3
1965-10-01,386,1965 Q4
1966-01-01,335,1966 Q1
1966-04-01,288,1966 Q2
1966-07-01,308,1966 Q3
1966-10-01,402,1966 Q4
1967-01-01,353,1967 Q1
1967-04-01,316,1967 Q2
1967-07-01,325,1967 Q3
1967-10-01,405,1967 Q4
1968-01-01,393,1968 Q1
1968-04-01,319,1968 Q2
1968-07-01,327,1968 Q3
1968-10-01,442,1968 Q4
1969-01-01,383,1969 Q1
1969-04-01,332,1969 Q2
1969-07-01,361,1969 Q3
1969-10-01,446,1969 Q4
1970-01-01,387,1970 Q1
1970-04-01,357,1970 Q2
1970-07-01,374,1970 Q3
1970-10-01,466,1970 Q4
1971-01-01,410,1971 Q1
1971-04-01,370,1971 Q2
1971-07-01,379,1971 Q3
1971-10-01,487,1971 Q4
1972-01-01,419,1972 Q1
1972-04-01,378,1972 Q2
1972-07-01,393,1972 Q3
1972-10-01,506,1972 Q4
1973-01-01,458,1973 Q1
1973-04-01,387,1973 Q2
1973-07-01,427,1973 Q3
1973-10-01,565,1973 Q4
1974-01-01,465,1974 Q1
1974-04-01,445,1974 Q2
1974-07-01,450,1974 Q3
1974-10-01,556,1974 Q4
1975-01-01,500,1975 Q1
1975-04-01,452,1975 Q2
1975-07-01,435,1975 Q3
1975-10-01,554,1975 Q4
1976-01-01,510,1976 Q1
1976-04-01,433,1976 Q2
1976-07-01,453,1976 Q3
1976-10-01,548,1976 Q4
1977-01-01,486,1977 Q1
1977-04-01,453,1977 Q2
1977-07-01,457,1977 Q3
1977-10-01,566,1977 Q4
1978-01-01,515,1978 Q1
1978-04-01,464,1978 Q2
1978-07-01,431,1978 Q3
1978-10-01,588,1978 Q4
1979-01-01,503,1979 Q1
1979-04-01,443,1979 Q2
1979-07-01,448,1979 Q3
1979-10-01,555,1979 Q4
1980-01-01,513,1980 Q1
1980-04-01,427,1980 Q2
1980-07-01,473,1980 Q3
1980-10-01,526,1980 Q4
1981-01-01,548,1981 Q1
1981-04-01,440,1981 Q2
1981-07-01,469,1981 Q3
1981-10-01,575,1981 Q4
1982-01-01,493,1982 Q1
1982-04-01,433,1982 Q2
1982-07-01,480,1982 Q3
1982-10-01,576,1982 Q4
1983-01-01,475,1983 Q1
1983-04-01,405,1983 Q2
1983-07-01,435,1983 Q3
1983-10-01,535,1983 Q4
1984-01-01,453,1984 Q1
1984-04-01,430,1984 Q2
1984-07-01,417,1984 Q3
1984-10-01,552,1984 Q4
1985-01-01,464,1985 Q1
1985-04-01,417,1985 Q2
1985-07-01,423,1985 Q3
1985-10-01,554,1985 Q4
1986-01-01,459,1986 Q1
1986-04-01,428,1986 Q2
1986-07-01,429,1986 Q3
1986-10-01,534,1986 Q4
1987-01-01,481,1987 Q1
1987-04-01,416,1987 Q2
1987-07-01,440,1987 Q3
1987-10-01,538,1987 Q4
1988-01-01,474,1988 Q1
1988-04-01,440,1988 Q2
1988-07-01,447,1988 Q3
1988-10-01,598,1988 Q4
1989-01-01,467,1989 Q1
1989-04-01,439,1989 Q2
1989-07-01,446,1989 Q3
1989-10-01,567,1989 Q4
1990-01-01,485,1990 Q1
1990-04-01,441,1990 Q2
1990-07-01,429,1990 Q3
1990-10-01,599,1990 Q4
1991-01-01,464,1991 Q1
1991-04-01,424,1991 Q2
1991-07-01,436,1991 Q3
1991-10-01,574,1991 Q4
1992-01-01,443,1992 Q1
1992-04-01,410,1992 Q2
1992-07-01,420,1992 Q3
1992-10-01,532,1992 Q4
1993-01-01,433,1993 Q1
1993-04-01,421,1993 Q2
1993-07-01,410,1993 Q3
1993-10-01,512,1993 Q4
1994-01-01,449,1994 Q1
1994-04-01,381,1994 Q2
1994-07-01,423,1994 Q3
1994-10-01,531,1994 Q4
1995-01-01,426,1995 Q1
1995-04-01,408,1995 Q2
1995-07-01,416,1995 Q3
1995-10-01,520,1995 Q4
1996-01-01,409,1996 Q1
1996-04-01,398,1996 Q2
1996-07-01,398,1996 Q3
1996-10-01,507,1996 Q4
1997-01-01,432,1997 Q1
1997-04-01,398,1997 Q2
1997-07-01,406,1997 Q3
1997-10-01,526,1997 Q4
1998-01-01,428,1998 Q1
1998-04-01,397,1998 Q2
1998-07-01,403,1998 Q3
1998-10-01,517,1998 Q4
1999-01-01,435,1999 Q1
1999-04-01,383,1999 Q2
1999-07-01,424,1999 Q3
1999-10-01,521,1999 Q4
2000-01-01,421,2000 Q1
2000-04-01,402,2000 Q2
2000-07-01,414,2000 Q3
2000-10-01,500,2000 Q4
2001-01-01,451,2001 Q1
2001-04-01,380,2001 Q2
2001-07-01,416,2001 Q3
2001-10-01,492,2001 Q4
2002-01-01,428,2002 Q1
2002-04-01,408,2002 Q2
2002-07-01,406,2002 Q3
2002-10-01,506,2002 Q4
2003-01-01,435,2003 Q1
2003-04-01,380,2003 Q2
2003-07-01,421,2003 Q3
2003-10-01,490,2003 Q4
2004-01-01,435,2004 Q1
2004-04-01,390,2004 Q2
2004-07-01,412,2004 Q3
2004-10-01,454,2004 Q4
2005-01-01,416,2005 Q1
2005-04-01,403,2005 Q2
2005-07-01,408,2005 Q3
2005-10-01,482,2005 Q4
2006-01-01,438,2006 Q1
2006-04-01,386,2006 Q2
2006-07-01,405,2006 Q3
2006-10-01,491,2006 Q4
2007-01-01,427,2007 Q1
2007-04-01,383,2007 Q2
2007-07-01,394,2007 Q3
2007-10-01,473,2007 Q4
2008-01-01,420,2008 Q1
2008-04-01,390,2008 Q2
2008-07-01,410,2008 Q3
2008-10-01,488,2008 Q4
2009-01-01,415,2009 Q1
2009-04-01,398,2009 Q2
2009-07-01,419,2009 Q3
2009-10-01,488,2009 Q4
2010-01-01,414,2010 Q1
2010-04-01,374,2010 Q2
