year,jan,feb,march,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1900,35.4,29.9,38,54.5,66.1,73.3,76.9,80,73.6,64.2,45.1,35.5,56
1901,33.2,27.4,43.3,49.9,62.6,75,82.3,76.6,68.6,57.5,41,30.8,54
1902,31.5,25.1,44.8,52.8,67.6,71.8,77.3,74.3,66.6,58.6,52.4,33,54.7
1903,31.1,34.6,49.7,53.6,67.6,67.7,77.7,75.1,69.2,57.5,40.4,27.6,54.3
1904,26.8,28.9,44.1,48.1,64.1,72.3,75.5,74.9,69.9,56.5,44.4,32.5,53.2
1905,25.8,24.7,48.6,54.3,66.1,74.1,76.7,75.4,69.7,55.7,43.9,36.3,54.3
1906,38.2,30.5,34.8,57.3,65.5,73.4,75.7,78.3,72.4,56.2,44.9,36.3,55.3
1907,38.4,31.9,51.3,45.5,59.4,69.7,77,74.2,69.2,53.6,42.8,36.9,54.2
1908,33.6,33.1,47.9,55,66.1,72.8,78,76.6,72.9,57.8,47.4,37.9,56.6
1909,35.7,40.1,42.1,53.4,62.3,74.2,74,76,67.1,52.7,53.1,28,54.9
1910,32,30.6,54,55.1,59.8,70.4,76.6,74.6,70,60,40.3,29.6,54.4
1911,37.3,39.8,43.2,52.2,69.9,74.9,76.9,76,72.1,57.3,40.6,40.6,56.7
1912,21.9,26.7,37.8,56.9,66.2,70.7,77.4,73.8,70.9,59.1,45.9,37.2,53.7
1913,40.6,31.9,44.7,54,65.8,74.8,79.9,78.1,68.5,57.2,49.6,39.1,57
1914,37.8,27.4,40.5,53.9,66.7,76.2,79.2,76.7,68.4,60.5,46.7,30.3,55.4
1915,31.4,40.1,37.5,58.3,60.1,69.3,73.5,68.5,68.4,58,46.6,32.7,53.7
1916,37.6,29.5,38.9,51.6,64.5,67.3,78.7,76.3,65.2,54.9,45.4,31.5,53.5
1917,32.4,29,43,51.2,56.6,69,74,73.3,64.9,48,41.4,22.3,50.4
1918,16.3,34.5,48.1,50.9,68.8,70.3,72.2,78.6,59.9,59,43.5,41.7,53.7
1919,35.2,34.4,43.7,52.5,60.1,75.3,77.1,73.2,69.6,61.8,42.2,27.9,54.4
1920,25.5,30.6,44,48.1,60.8,70.4,72.8,71.2,67.9,60.2,42.3,36,52.5
1921,35.9,37,52.3,56.3,64.6,75.5,79.7,72.7,72.3,55.2,45.8,36.4,57
1922,29.3,36.1,44.8,55.6,66.8,73.7,75.3,73.7,70.5,57.9,46.3,35.3,55.4
1923,36.5,28.3,40.3,51.7,61.2,72.1,75.6,74,68.3,53.9,43.8,43.5,54.1
1924,26.8,31.6,37.7,53.7,57.3,71.4,72.3,74.3,62.5,59.4,43.6,31,51.8
1925,30.7,40.3,44.9,58.2,58.7,76.1,74.6,74,73.9,48.6,42.2,30.7,54.4
1926,30.2,35.5,35.3,46.9,64,68.8,75.2,75.7,69,55.7,41,32,52.4
1927,31.5,40.7,46.1,53.6,63,67.3,75.5,68.3,71.5,59.6,48.9,33.4,55
1928,31.2,33.6,40.6,49.6,61.7,67,75.4,75.6,63.8,59.8,44.6,36.8,53.3
1929,29.2,27.9,49.2,56.6,60.3,69.4,74.4,71.1,67.1,54.1,40.8,34.4,52.9
1930,30.8,43.1,41,56.3,65.4,72.7,78.8,75.4,70.3,54,44.9,32.6,55.4
1931,35.3,38.8,38,53.5,60.5,73.9,79.1,74.4,72.7,59.5,53.7,42.5,56.8
1932,41.4,42.6,36.2,52.6,64.2,73.4,77.1,74.4,67.7,55.9,41.2,34.1,55.1
1933,40.6,34.2,41.7,52.9,66.1,77.6,76.5,74.5,73.1,54.8,42.5,38.6,56.1
1934,36.1,25.2,39.5,53.5,66.7,78.1,82.2,76.2,69.8,57.9,48.4,33.3,55.6
1935,33.4,35.3,49.4,50.5,59.7,69.2,78.8,75.4,67.1,57.2,44.1,27.2,53.9
1936,25.1,26.7,46.8,49.2,66.8,74.1,81.7,80.1,71.5,56.6,40.1,37.7,54.7
1937,38.5,33.4,38.5,52.7,63.2,72.7,75.3,76.8,65.4,53.7,41.5,32,53.6
1938,32.4,40.3,49.1,56.4,63.6,70.7,76.1,76.3,68.7,58,47.3,36.4,56.3
1939,37.7,35.4,45.3,50.7,66.5,74.1,75,74.6,73.5,59.1,42.9,37.5,56
1940,19.1,32.9,40.1,50.1,60.4,73,76.3,76.3,65.8,59.9,43.9,39.8,53.1
1941,32.8,30.4,37.2,59.2,66.9,73.1,77.4,75.5,71.8,61.6,46.2,39.3,56
1942,31.3,30.4,45.9,57.1,64.3,73,77.1,73.5,66.4,57.3,46.7,31.2,54.5
1943,34.3,35.6,39.8,49.8,64.8,76.9,77.4,76.2,65.9,56.1,42.5,32.2,54.3
1944,36.2,37.9,40.4,53.6,70.8,76.9,78,76.7,67.9,56.6,44.8,29.2,55.8
1945,26.1,34.4,54.6,56.3,60,70.2,74.1,74.5,71,55.7,45.9,28.5,54.3
1946,34.4,37.3,54.8,55.2,61.8,72.5,74.9,70.2,68.9,60,49.9,39.2,56.6
1947,38.2,26.6,36.3,53.1,59.8,69.9,70.7,79.8,67.9,63.6,40.2,34.3,53.4
1948,22.6,33.8,45,53.3,61.6,72.1,75.5,74.2,68.7,53,47.4,37,53.7
1949,38.5,39.4,43.1,51.2,64.2,74.5,79,74.5,61.6,60.2,43.5,38.4,55.7
1950,41.3,35.1,38.6,48,64.2,69.3,72.2,70.4,64.7,60,37.8,27,52.4
1951,32.6,33.9,40.1,50.6,65,72.3,76,74.9,65.9,58.4,37.6,34.6,53.5
1952,36.6,36.8,42.3,53.3,62.7,77.2,78.2,74.1,66.5,50.4,44.4,36.3,54.9
1953,36.4,37.9,44.5,49.2,66.1,75.9,76,75.9,68.5,59.2,45.1,34.1,55.7
1954,34.2,41.5,39.7,59.6,58.7,74.3,77.5,74.5,71.1,56.9,43.6,33.9,55.5
1955,30.3,34.9,44.3,58.6,64.9,67.6,79.2,77.9,70.5,56.1,40.3,31.9,54.7
1956,29.2,37.6,41.6,50,63.3,72.1,74.3,73.5,64.5,60.8,42.6,42,54.3
1957,27.8,38.3,42.3,56.1,64,73.3,76.2,74.4,67.2,53.1,43.6,38.7,54.6
1958,29.3,25.3,37.8,53.8,63,69,74.2,73,67.3,56.1,46.4,27,51.9
1959,29.3,35.6,41,55.5,67.9,72.6,76.6,78.5,71,56.8,40.6,37.7,55.3
1960,34.5,30.5,29.6,57.6,60.9,70.9,74.3,76.3,70.5,57.1,46.1,28.7,53.1
1961,27.8,38.6,46.4,48.4,59.3,70.1,75.4,74.4,71.8,58,44.1,33.5,54
1962,28.2,34.9,40.7,52.3,68.4,72.4,74.2,75.1,63.5,56.1,42.8,28.5,53.1
1963,22.2,24.4,44.8,53.7,58.9,69.2,72.2,70.4,65.6,61.8,45.2,22.9,50.9
1964,32,30.2,43.1,56.1,65.7,71.8,74.2,73.7,67.1,52.6,47.1,35.5,54.1
1965,30.6,32.8,36.6,53.2,67,71.8,73.1,72.4,67.1,53.4,44.2,38.8,53.4
1966,23.8,31.5,42.9,50.1,60.4,73.1,78.8,74.5,66.5,51,44.7,33.5,52.6
1967,35.4,27.5,44.7,55.4,60.5,73,72.9,71.1,65.3,55.5,40.3,36.8,53.2
1968,26.7,28.1,45.2,55.5,60.7,72.9,75.7,75.3,67.4,55.9,45.6,33.6,53.6
1969,30.2,33.6,37.3,55.2,65,71.9,77.2,73.9,66.5,55.7,40.2,30.6,53.1
1970,24,30.6,39,56.8,66.7,72.2,75.4,75,73.6,58.5,45,38,54.6
1971,28.3,33.3,40.2,53.1,60.8,75.8,74.7,72.4,70.2,61.4,43.1,41.1,54.5
1972,30.2,29.5,40.5,52.5,63.1,65.3,75.4,73.3,68.7,51.7,40.3,36,52.2
1973,31.7,33,50.5,51.1,58.4,72.3,74.8,73.7,69.6,58.9,45.3,33.6,54.4
1974,35.6,33.9,45.9,54.3,61.9,67.7,75.2,74.3,61.5,53.2,44.4,34.4,53.5
1975,34,37.1,39.8,50.5,67.6,72.2,74.5,76.8,62.4,57.5,49,37.3,54.9
1976,27.1,41.7,47,56,60,71.5,73.6,71.1,63.6,48.8,34.9,27.5,51.9
1977,12,29.8,46.5,56.3,68.1,68.7,77.9,73.9,69.8,52.3,45.4,28.7,52.5
1978,18.3,18.2,36.4,53.4,60.1,72.2,74.9,73,70.7,52.5,46.4,36,51
1979,21.3,21.3,46.6,50.9,60.2,69.4,73.4,72.3,66.1,54.2,44.2,36.2,51.3
1980,29.8,24,38.5,50.3,64.9,70.1,76.6,76.5,68.6,50.5,41.5,32.9,52
1981,24.1,34.1,40.1,58.1,59.8,72.3,75.8,73.6,65.1,53.9,43.7,29,52.5
1982,23.9,30.5,44.3,49.6,68,67.4,77,71.2,66.9,59.3,48.4,42.9,54.1
1983,31.6,35.3,44.6,49.4,59,71.6,79.2,78.2,67.2,55.7,44.7,24.5,53.4
1984,23.7,38.1,34.4,51,58.9,74.1,72.2,74.3,65.7,61.5,41.9,42.4,53.2
1985,22.7,29.3,47.5,57.8,65.4,69.9,75.1,72.5,67.5,59.3,49.9,26.1,53.6
1986,30.8,35.2,45.1,55.3,64.5,72.9,77.5,71.9,70.1,56.4,42.7,34,54.7
1987,30.6,37.3,45,53,69.3,73.6,76.1,75.2,68.3,49.3,48,36.7,55.2
1988,27.5,30.5,42.2,52.4,64.3,72.4,78.5,77.4,67.2,48.4,45,34.1,53.3
1989,38.6,30.8,45.4,52.9,60,71.3,76.7,73.5,66.4,55.7,43.8,21.6,53.1
1990,39.9,40.8,48.1,52.8,61.6,71.8,74.7,73.6,67.7,55.9,48.9,38.2,56.2
1991,31,37.2,45.4,56.9,70.3,75.4,77.9,74.8,68.5,58.6,41.4,37.3,56.2
1992,32.9,39.7,43.6,54,61.2,68,73.5,69.6,64.5,53.3,44.2,35.5,53.3
1993,39.6,29.3,40.2,52,63.2,70.9,79,76.2,63.9,53,43.5,32.8,53.6
1994,23.2,33.1,41.4,55.4,59.3,75,75.2,71.9,65.7,57.1,49.8,40,53.9
1995,31.3,30.9,45.7,53.3,62.7,72.8,76.6,79.5,65.7,55.3,37.5,29.3,53.4
1996,27.9,32.4,36.7,49.1,63.2,71,72.1,74.3,65.3,55.1,37.8,37.5,51.9
1997,28.1,37.5,44.1,48.1,57.2,69,75.1,71.6,65.6,55.4,41.3,35.7,52.4
1998,38.6,40.5,43.6,53,66.5,71.3,74.3,75.1,71.6,56.1,45.5,38.3,56.2
1999,32.3,37.8,38.3,55,63.6,73,78.9,72.7,66.8,55.3,48.5,34.8,54.7
2000,28.6,40.3,46.7,52.3,65.4,71.3,72.6,72.3,64.8,57.7,41.7,23.2,53.1
2001,29.7,36.9,39.7,58,64.1,69.7,74.2,74.9,64.6,55.1,50,39.3,54.7
2002,36.8,36.7,41.9,55.7,59.5,72.9,78.1,77.5,71.6,53.9,41.3,34.2,55
2003,24,28.3,45,55.7,61.9,67.2,73.9,74.6,64.8,54.5,48,35,52.7
2004,27.7,33.9,45.4,53.5,67,71,73.2,70.6,68.5,56.5,47.7,33.3,54
2005,33.4,37.6,38.9,55.7,60.3,74.7,77.5,77.7,70.8,56.1,45.5,30.2,54.9
2006,41.6,34.8,42.4,57.9,61.8,70,76.9,77.4,64.1,53,46.2,40.4,55.5
2007,35,22.7,50.7,52.2,67.6,74.2,74.6,81.6,72.9,61.3,43.8,36.4,56.1
2008,29.9,32.3,41.1,54.7,60.5,72.8,74.3,74.4,71,56.5,42.3,33.9,53.6
2009,26,35.8,47.5,54.8,64.2,72.7,70.1,72,67.9,52,47.5,33.3,53.7
2010,26.8,26.9,45.6,58.6,66.1,75,77.9,78.1,70.1,57.6,44.6,26.5,54.5
2011,26.1,36.6,44.5,57.1,63.5,72.9,80.9,75.9,65.4,55.2,49.1,39.5,55.6
2012,35.3,38.3,55.3,54.1,69,73.1,81.2,75.7,66.1,53.7,42.1,40.2,57
2013,33.7,33.3,37.2,54.7,65.5,72.7,74.5,74.1,68.7,56,41.3,35.2,53.9
2014,23.7,28.3,39.5,56,65.3,73.8,71.6,75,67,55.5,38.7,37.5,52.7
2015,30.2,23,41.9,55.7,67.2,72.7,75,72,70.3,57.1,49.1,46.2,55
2016,30.5,36.3,50.1,55,62,74.3,77,78.3,71.9,62,47.9,33.7,56.6
2017,37.5,44,44.7,60.8,63,71.2,75.8,72.7,67.7,58,45.2,32.3,56.1
2018,28.8,40.9,39.9,48.7,72.4,75.1,77,76,71.8,57.4,40,38.5,55.5
2019,30.4,38.2,40.7,56.7,66.7,71.4,78.3,75.7,75.4,59.5,39.8,40.2,56.1
2020,38,35.7,49,51.8,61.3,73.9,78.6,74.6,68,56.1,49.6,36.2,56.1
2021,33.3,29.3,48.4,54,61.8,73.8,75.7,77.3,70.1,61.7,42.4,44.5,56
2022,28.2,34.9,47.7,52.1,67.2,74.3,78.2,75,68.1,55.4,45.5,35.4,55.2
